X,Y,Distance,"""LRO LOLA DEM, 87.5 deg v4, S Pole""","""LRO LOLA DEM, 75 deg v4, S Pole""","""LRO LOLA DEM, 45 deg v4, S Pole""","""LRO LOLA DEM 128ppd, Endurance-A Site 007"""
6304.524840999483,-7117.211757496691,11438.24,-2668,-2670,-2674.5,
6358.994290086589,-7081.755128021113,11503.23,-2676,-2673,-2675,
6413.463739173697,-7046.298498545535,11568.22,-2683.5,-2684,-2687.5,
6467.933188260803,-7010.841869069957,11633.21,-2687.5,-2686.5,-2687.5,
6522.402637347911,-6975.3852395943795,11698.199999999999,-2695,-2696.5,-2698.5,
6576.872086435017,-6939.928610118802,11763.189999999999,-2709.5,-2705,-2698.5,
6631.341535522125,-6904.471980643224,11828.179999999998,-2705.5,-2706,-2706,
6685.810984609231,-6869.015351167646,11893.169999999998,-2708.5,-2705,-2704,
6740.280433696339,-6833.5587216920685,11958.16,-2712.5,-2712,-2713,
6794.749882783445,-6798.102092216491,12023.15,-2720,-2721,-2715,
6849.219331870553,-6762.645462740913,12088.14,-2720.5,-2721,-2723,
6903.688780957659,-6727.188833265335,12153.13,-2732.5,-2734.5,-2737,
6958.158230044767,-6691.7322037897575,12218.119999999999,-2741.5,-2739,-2739,
7016.61863940819,-6666.783870686299,12283.109999999999,-2747,-2745,-2750.5,
7080.89260572302,-6657.142775739075,12348.099999999999,-2758.5,-2754.5,-2750.5,
7145.1665720378505,-6647.50168079185,12413.089999999998,-2760.5,-2761,-2760.5,
7209.440538352681,-6637.860585844625,12478.079999999998,-2766.5,-2767.5,-2768,
7273.714504667511,-6628.219490897401,12543.07,-2770.5,-2771,-2768,
7337.988470982342,-6618.578395950176,12608.06,-2772.5,-2772,-2773,
7402.262437297172,-6608.937301002951,12673.05,-2777.5,-2775.5,-2779.5,
7466.536403612003,-6599.2962060557265,12738.039999999999,-2780.5,-2780.5,-2780.5,
7530.810369926833,-6589.655111108502,12803.029999999999,-2783.5,-2784,-2784,
7595.084336241664,-6580.014016161277,12868.019999999999,-2787.5,-2788,-2784,
7659.358302556494,-6570.372921214052,12933.009999999998,-2791,-2790,-2789,
