time_s,distance_m,altitude_m,vx_m_s,vy_m_s,velocity_m_s,rk4_ballistic_acceleration_m_s2,powered_acceleration_demand_m_s2,powered_g_load_earth_g
138.862,5431.859999999954,825.6225843599866,-60.46283309957924,7.6782794950907665,60.94842214883259,1.62,1.6200086919962005,0.16519491283936927
139.06571428571428,5419.542857142811,827.1531449795783,-60.46283309957924,7.348262352233624,60.90772648872086,1.62,1.620010165140091,0.1651950630582402
139.26942857142856,5407.225714285668,828.6164763926395,-60.46283309957924,7.018245209376481,60.86879292582128,1.62,1.6200118754784347,0.16519523746421405
139.47314285714285,5394.908571428525,830.01257859917,-60.46283309957924,6.688228066519338,60.83162484347555,1.62,1.6200138590278998,0.16519543972996895
139.67685714285713,5382.591428571382,831.3414515991699,-60.46283309957924,6.358210923662195,60.79622547969037,1.62,1.6200161569108782,0.1651956740488218
139.88057142857141,5370.274285714238,832.6030953926391,-60.46283309957924,6.0281937808050525,60.762597925751265,1.62,1.620018816021316,0.16519594520262434
140.0842857142857,5357.957142857095,833.7975099795779,-60.46283309957924,5.69817663794791,60.73074512489396,1.62,1.6200218897685703,0.16519625863761533
140.28799999999998,5345.639999999952,834.9246953599859,-60.46283309957924,5.368159495090767,60.70066987103444,1.62,1.620025438907155,0.165196620549031
140.4917142857143,5333.322857142809,835.9846515338634,-60.46283309957924,5.038142352233624,60.672374807559216,1.62,1.6200295324608662,0.16519703797533983
140.69542857142858,5321.005714285666,836.9773785012102,-60.46283309957924,4.708125209376481,60.64586242617662,1.62,1.6200342487504173,0.16519751890303186
140.89914285714286,5308.688571428523,837.9028762620264,-60.46283309957924,4.378108066519339,60.62113506583077,1.62,1.6200396765343739,0.16519807238296197
141.10285714285715,5296.3714285713795,838.761144816312,-60.46283309957924,4.048090923662196,60.598194911678775,1.62,1.6200459162738712,0.165198708659315
141.30657142857143,5284.054285714236,839.5521841640671,-60.46283309957924,3.718073780805053,60.57704399413267,1.62,1.6200530815322887,0.16519943931233283
141.51028571428571,5271.737142857093,840.2759943052914,-60.46283309957924,3.3880566379479102,60.55768418796675,1.62,1.6200613005217654,0.1652002774160152
141.714,5259.41999999995,840.9325752399852,-60.46283309957924,3.0580394950907674,60.54011721149134,1.62,1.6200707178091605,0.1652012377120791
141.91771428571428,5247.102857142807,841.5219269681484,-60.46283309957924,2.7280223522336247,60.52434462579386,1.62,1.620081496194769,0.16520233680153457
142.12142857142857,5234.785714285664,842.044049489781,-60.46283309957924,2.398005209376482,60.51036783404785,1.62,1.620093818777809,0.16520359335530574
142.32514285714285,5222.468571428521,842.4989428048829,-60.46283309957924,2.067988066519339,60.498188080890834,1.62,1.6201078912233846,0.16520502834539671
142.52885714285713,5210.151428571377,842.8866069134542,-60.46283309957924,1.7379709236621963,60.48780645187153,1.62,1.620123944246283,0.16520666529816838
142.73257142857142,5197.834285714234,843.2070418154949,-60.46283309957924,1.4079537808050535,60.479223872966976,1.62,1.6201422363275881,0.16520853057135598
142.9362857142857,5185.517142857091,843.460247511005,-60.46283309957924,1.0779366379479107,60.47244111017022,1.62,1.6201630566806644,0.16521065365651516
143.14,5173.199999999948,843.6462239999845,-60.46283309957924,0.7479194950907678,60.46745876914882,1.62,1.6201867284835654,0.165213067508636
143.34371428571427,5160.882857142805,843.7649712824334,-60.46283309957924,0.41790235223362493,60.46427729497457,1.62,1.6202136123953583,0.16521580890470838
143.54742857142855,5148.565714285662,843.8164893583516,-60.46283309957924,0.08788520937648203,60.46289697192488,1.62,1.620244110374185,0.16521891883305564
143.75114285714284,5136.2485714285185,843.8007782277393,-60.46283309957924,-0.24213193348066087,60.4633179233557,1.62,1.620278669815102,0.16522244291527707
143.95485714285712,5123.931428571375,843.7178378905963,-60.46283309957924,-0.5721490763378038,60.46554011164648,1.62,1.620317788025843,0.16522643186264863
144.1585714285714,5111.614285714232,843.5676683469228,-60.46283309957924,-0.9021662191949467,60.46956333821695,1.62,1.620362017058584,0.16523094196882565
144.3622857142857,5099.297142857089,843.3502695967186,-60.46283309957924,-1.2321833620520897,60.47538724361584,1.62,1.6204119689155667,0.16523603564066902
144.566,5086.979999999946,843.0656416399838,-60.46283309957924,-1.5622005049092325,60.48301130768138,1.62,1.620468321146024,0.1652417819689725
144.7697142857143,5074.662857142803,842.7137844767184,-60.46283309957924,-1.8922176477663752,60.49243484977352,1.62,1.6205318228512071,0.1652482573408052
144.97342857142857,5062.34571428566,842.2946981069224,-60.46283309957924,-2.222234790623518,60.503657029077445,1.62,1.620603301113453,0.16525554609509396
145.17714285714285,5050.028571428516,841.8083825305957,-60.46283309957924,-2.552251933480661,60.516676844978285,1.62,1.62068366786409,0.16526374122295484
145.38085714285714,5037.711428571373,841.2548377477385,-60.46283309957924,-2.8822690763378036,60.53149313750644,1.62,1.6207739272035562,0.16527294511413748
145.58457142857142,5025.39428571423,840.6340637583506,-60.46283309957924,-3.2122862191949464,60.54810458785316,1.62,1.620875183185379,0.16528327035077003
145.7882857142857,5013.077142857087,839.9460605624322,-60.46283309957924,-3.542303362052089,60.56650971895591,1.62,1.6209886480735796,0.16529484054938023
145.992,5000.759999999944,839.1908281599831,-60.46283309957924,-3.872320504909232,60.58670689615269,1.62,1.621115651080647,0.1653077912519206
146.19571428571427,4988.442857142801,838.3683665510034,-60.46283309957924,-4.202337647766375,60.608694327904885,1.62,1.6212576475903964,0.16532227086623835
146.39942857142856,4976.1257142856575,837.4786757354931,-60.46283309957924,-4.5323547906235175,60.632470066587786,1.62,1.621416228866812,0.16533844165610193
146.60314285714284,4963.808571428514,836.5217557134522,-60.46283309957924,-4.86237193348066,60.65803200934791,1.62,1.6215931322463177,0.1653564807805232
146.80685714285713,4951.491428571371,835.4976064848806,-60.46283309957924,-5.192389076337803,60.68537789902645,1.62,1.6217902518068177,0.1653765813816969
147.01057142857144,4939.174285714228,834.4062280497785,-60.46283309957924,-5.522406219194946,60.71450532514762,1.62,1.6220096495022989,0.1653989537204141
147.21428571428572,4926.857142857085,833.2476204081457,-60.46283309957924,-5.852423362052089,60.7454117249712,1.62,1.6222535667467401,0.16542382635729228
147.418,4914.539999999942,832.0217835599824,-60.46283309957924,-6.1824405049092315,60.77809438460799,1.62,1.6225244364255678,0.16545144737760273
147.6217142857143,4902.222857142799,830.7287175052884,-60.46283309957924,-6.512457647766374,60.81255044019718,1.62,1.622824895306878,0.16548208565686326
147.82542857142857,4889.905714285655,829.3684222440638,-60.46283309957924,-6.842474790623517,60.84877687914437,1.62,1.623157796818158,0.16551603216370098
148.02914285714286,4877.588571428512,827.9408977763086,-60.46283309957924,-7.17249193348066,60.886770541419104,1.62,1.6235262241472608,0.16555360129578
148.23285714285714,4865.271428571369,826.4461441020228,-60.46283309957924,-7.502509076337803,60.926528120910575,1.62,1.623933503618929,0.16559513224382733
148.43657142857143,4852.954285714226,824.8841612212063,-60.46283309957924,-7.832526219194945,60.968046166840146,1.62,1.6243832182902682,0.1656409903779852
148.6402857142857,4840.637142857083,823.2549491338593,-60.46283309957924,-8.162543362052089,61.01132108522938,1.62,1.6248792217002337,0.1656915686498686
148.844,4828.31999999994,821.5585078399816,-60.46283309957924,-8.492560504909232,61.05634914042208,1.62,1.6254256516994623,0.16574728900281568
149.04771428571428,4816.0028571427965,819.7948373395734,-60.46283309957924,-8.822577647766375,61.10312645665884,1.62,1.626026944277707,0.16580860378189363
149.25142857142856,4803.685714285653,817.9639376326345,-60.46283309957924,-9.152594790623517,61.151649019702845,1.62,1.626687847296735,0.1658759971342645
149.45514285714285,4791.36857142851,816.065808719165,-60.46283309957924,-9.48261193348066,61.201912678514915,1.62,1.627413434026923,0.16594998638953395
149.65885714285713,4779.051428571367,814.1004505991649,-60.46283309957924,-9.812629076337803,61.25391314697671,1.62,1.6282091163759747,0.1660311234087048
149.8625714285714,4766.734285714224,812.0678632726342,-60.46283309957924,-10.142646219194946,61.307646005660054,1.62,1.6290806576882644,0.16611999588934698
150.0662857142857,4754.417142857081,809.9680467395729,-60.46283309957924,-10.472663362052089,61.3631067036411,1.62,1.630034184983406,0.16621722861358426
150.26999999999998,4742.099999999938,807.8010009999809,-60.46283309957924,-10.802680504909231,61.420290560357344,1.62,1.6310762004927961,0.16632348462449423
150.47371428571427,4729.7828571427945,805.5667260538584,-60.46283309957924,-11.132697647766374,61.47919276750597,1.62,1.6322135923432433,0.16643946631553522
150.67742857142855,4717.465714285651,803.2652219012052,-60.46283309957924,-11.462714790623517,61.539808390981804,1.62,1.6334536442274563,0.1665659164166618
150.88114285714283,4705.148571428508,800.8964885420214,-60.46283309957924,-11.79273193348066,61.602132372853056,1.62,1.6348040438922717,0.16670361885988302
151.08485714285712,4692.831428571365,798.460525976307,-60.46283309957924,-12.122749076337803,61.66615953337312,1.62,1.6362728902671533,0.16685339950616707
151.2885714285714,4680.514285714222,795.957334204062,-60.46283309957924,-12.452766219194945,61.731884573026754,1.62,1.6378686990478863,0.1670161267148197
151.49228571428569,4668.197142857079,793.3869132252864,-60.46283309957924,-12.782783362052088,61.79930207460867,1.62,1.6396004065436118,0.16719271173577235
151.696,4655.8799999999355,790.7492630399802,-60.46283309957924,-13.11280050490923,61.868406505332935,1.62,1.6414773715895898,0.16738410890463
151.89971428571428,4643.562857142792,788.0443836481434,-60.46283309957924,-13.442817647766374,61.9391922189713,1.62,1.6435093753234913,0.16759131561985913
152.10342857142857,4631.245714285649,785.2722750497759,-60.46283309957924,-13.772834790623516,62.01165345801856,1.62,1.6457066186197606,0.1678153720811654
152.30714285714285,4618.928571428506,782.4329372448778,-60.46283309957924,-14.10285193348066,62.08578435588339,1.62,1.6480797169748054,0.16805736076792843
152.51085714285713,4606.611428571363,779.5263702334491,-60.46283309957924,-14.432869076337802,62.1615789391026,1.62,1.6506396926356628,0.16831840563654896
152.71457142857142,4594.29428571422,776.5525740154899,-60.46283309957924,-14.762886219194945,62.239031129577135,1.62,1.6533979637664773,0.168599671015737
152.9182857142857,4581.977142857077,773.511548591,-60.46283309957924,-15.092903362052088,62.31813474682806,1.62,1.6563663304507625,0.16890236017913993
153.12199999999999,4569.6599999999335,770.4032939599795,-60.46283309957924,-15.42292050490923,62.398883510270636,1.62,1.6595569573331947,0.16922771357529787
153.3257142857143,4557.34285714279,767.2278101224283,-60.46283309957924,-15.752937647766373,62.48127104150483,1.62,1.6629823527126777,0.16957700669572973
153.52942857142858,4545.025714285647,763.9850970783466,-60.46283309957924,-16.082954790623518,62.56529086662041,1.62,1.6666553439087968,0.1699515475630105
